id,original_language,spoken_languages
21301,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
44539,en,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
18841,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
30566,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
42466,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
44674,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
9838,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10677,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
17047,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11024,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
553,da,"[{'iso_639_1': 'en', 'name': 'English'}]"
1487,en,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]"
11137,en,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]"
11358,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
2122,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]"
923,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
34082,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
393,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
10625,en,"[{'iso_639_1': 'sw', 'name': 'Kiswahili'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'vi', 'name': 'Tiếng Việt'}]"
7131,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]"
22137,da,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
10035,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
20561,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
667,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
700,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'es', 'name': 'Español'}]"
36670,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'es', 'name': 'Español'}]"
10940,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9356,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
16113,en,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]"
25508,en,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'sr', 'name': 'Srpski'}]"
12310,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
39907,th,"[{'iso_639_1': 'th', 'name': 'ภาษาไทย'}]"
9545,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10916,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10921,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10941,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14589,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14594,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14590,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14588,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14595,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1583,de,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]"
17653,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
11069,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
10829,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
31952,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]"
54396,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
40810,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
40812,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
3075,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
43096,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11506,sv,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
29455,sv,"[{'iso_639_1': 'sv', 'name': 'svenska'}]"
11602,sv,"[{'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
42632,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10775,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
15618,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
13282,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
26268,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
250,da,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sh', 'name': ''}]"
19086,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
15824,da,"[{'iso_639_1': 'da', 'name': 'Dansk'}]"
11315,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
5165,it,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]"
19128,de,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]"
33560,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
15371,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
27601,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17346,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
809,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
673,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
2789,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
8920,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11546,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17481,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
27118,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
9372,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
44695,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
31217,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
38582,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
9542,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
24236,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10606,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
6081,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
2330,fr,"[{'iso_639_1': 'pt', 'name': 'Português'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}]"
2334,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
2202,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
558,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
80,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
8699,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11247,en,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
36627,pl,"[{'iso_639_1': 'pl', 'name': 'Polski'}]"
2502,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
12625,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
43417,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
20408,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
18706,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
34327,en,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]"
20417,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
35780,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
25361,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
25536,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]"
11282,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]"
11130,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
395,en,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]"
10762,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11026,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
36912,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
44415,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11237,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
13559,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
24924,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
17994,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]"
1577,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
26230,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
27816,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
27815,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
29445,da,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}]"
28153,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1970,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]"
176,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9806,en,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]"
11249,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9801,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}, {'iso_639_1': 'en', 'name': 'English'}]"
2059,en,"[{'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
11836,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
163,en,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'en', 'name': 'English'}]"
36648,en,"[{'iso_639_1': 'eo', 'name': 'Esperanto'}, {'iso_639_1': 'en', 'name': 'English'}]"
33740,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
74719,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
77448,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
28421,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
27503,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
43149,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
27970,en,"[{'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
23101,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
23336,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
28436,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9797,ru,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]"
31980,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
4558,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
43388,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
30801,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11402,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
31372,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
31374,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
31378,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
34528,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
34530,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
21135,it,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
17102,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11047,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
9929,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
29778,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]"
29748,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
70327,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
9394,it,"[{'iso_639_1': 'it', 'name': 'Italiano'}]"
34479,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
40732,sv,"[{'iso_639_1': 'sv', 'name': 'svenska'}]"
18250,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
33020,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
12089,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
41471,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
17810,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
9474,it,"[{'iso_639_1': 'it', 'name': 'Italiano'}]"
25473,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
24402,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
16246,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
28994,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]"
19174,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9385,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
28209,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
10711,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
43430,ru,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]"
47313,ja,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]"
5725,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
38783,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10640,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
5651,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
16378,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1362,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
33701,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
14087,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
1884,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
27414,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17663,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
8868,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
29903,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14029,fr,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
10372,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
67342,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
9056,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
9318,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
10570,fr,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}]"
11471,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
22572,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
49964,fa,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]"
30421,cn,"[{'iso_639_1': 'zh', 'name': '普通话'}]"
18305,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
14571,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
20562,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
18311,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'tl', 'name': ''}]"
1483,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
34376,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
29904,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
83761,fa,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]"
34683,sv,"[{'iso_639_1': 'sv', 'name': 'svenska'}]"
47350,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
25684,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
18817,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
16437,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17811,en,"[{'iso_639_1': 'zh', 'name': '普通话'}]"
12088,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
30366,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
35610,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]"
12664,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
32764,de,"[{'iso_639_1': 'ro', 'name': 'Română'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
26877,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
18998,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11067,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
35977,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
26830,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
12613,ja,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]"
37563,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
27318,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
16003,sv,"[{'iso_639_1': 'sv', 'name': 'svenska'}]"
8214,fi,"[{'iso_639_1': 'fi', 'name': 'suomi'}]"
2061,da,"[{'iso_639_1': 'da', 'name': 'Dansk'}]"
74097,en,[]
36702,en,[]
17629,sv,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
9732,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10213,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
12095,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1283,es,"[{'iso_639_1': 'es', 'name': 'Español'}]"
22140,da,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
344,de,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]"
15805,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
11508,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
2487,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
12485,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17074,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
18491,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
39927,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
21348,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
9011,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
2332,fr,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ja', 'name': '日本語'}]"
20882,ru,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
5458,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10482,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
28031,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
15653,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
844,zh,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
23985,en,[]
2463,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]"
16874,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
71138,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
39872,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
16234,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10706,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
17208,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10751,da,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'sr', 'name': 'Srpski'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
2899,fr,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'la', 'name': 'Latin'}]"
36243,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
10726,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
13899,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
437,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11178,ko,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}]"
100973,sv,"[{'iso_639_1': 'sv', 'name': 'svenska'}]"
21707,ko,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]"
36222,ja,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'ja', 'name': '日本語'}]"
13984,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
4689,ko,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]"
18248,en,"[{'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
21041,sv,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
11430,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
23986,en,[]
4326,de,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]"
32250,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
44203,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
10891,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
12540,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
60672,fr,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
14245,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
3177,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
10855,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]"
12140,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
12496,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
17457,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
10361,fr,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]"
41070,no,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'no', 'name': 'Norsk'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
11838,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
670,ko,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]"
12583,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'es', 'name': 'Español'}]"
9694,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
22537,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
10304,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9666,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
9316,th,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]"
11647,zh,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
10105,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
83,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14310,zh,"[{'iso_639_1': 'zh', 'name': '普通话'}]"
10320,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
3396,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
62276,ru,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]"
5889,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
