id,original_language,spoken_languages
9255,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
16097,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
329,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
11231,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
5550,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]"
11236,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
8850,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
78,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]"
9066,en,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]"
771,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
812,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
280,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
268,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
274,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10020,en,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]"
10824,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
25059,en,[]
11827,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]"
8766,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
19042,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
954,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'cs', 'name': 'Český'}]"
8840,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
25087,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
5801,bn,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]"
896,bn,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]"
8072,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
20762,en,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]"
11687,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
9323,ja,"[{'iso_639_1': 'ja', 'name': '日本語'}]"
532,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10547,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
77771,wo,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'wo', 'name': 'Wolof'}]"
627,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
602,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10545,en,"[{'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'en', 'name': 'English'}]"
9327,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
12606,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10546,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
9431,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
10061,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
238,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}]"
11134,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ms', 'name': 'Bahasa melayu'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]"
38955,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
19004,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10987,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
62,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
3529,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10331,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
39448,cn,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]"
10680,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
18660,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
35115,en,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]"
14821,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14136,en,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]"
10869,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
19186,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
6878,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
15944,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11224,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
15947,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}, {'iso_639_1': 'es', 'name': 'Español'}]"
10948,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11229,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
562,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
10163,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11238,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
88,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
8491,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
402,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
25750,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11843,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1103,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11298,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
4480,fr,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
4481,fr,"[{'iso_639_1': 'fr', 'name': 'Français'}]"
531,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
36555,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11455,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1891,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
85,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'ne', 'name': ''}]"
679,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
429,it,"[{'iso_639_1': 'it', 'name': 'Italiano'}]"
1892,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
348,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
766,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
539,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
525,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
240,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'es', 'name': 'Español'}]"
530,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9277,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
218,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
829,en,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]"
765,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
105,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
8009,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
756,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11314,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
89,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'en', 'name': 'English'}]"
8077,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
41671,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
27214,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
52263,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
33519,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
16235,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11449,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
41848,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
8851,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
229,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9529,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
7340,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
377,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
794,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}]"
145,da,"[{'iso_639_1': 'en', 'name': 'English'}]"
199,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9279,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17204,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11674,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
1573,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
152,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
174,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
172,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
154,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
157,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
