id
10
2
2
39
1
10
3
29
2
14
12
313
130
1
225
1080
113
32269
1
994
24
3
101
297
2438
1
1
67
508
29
100
1
20
24
1529
2
1350
1
18
3
3
444
3
3
1
1
2
9
18
5
36
2
25
5
1
6
2
248
106
2
219
2
316
1
57
826
1
5
1
9
17
1
5
63
384
78
45
1
76
23
150
16
8
1
10
5
33
409
1
