id_x,name,id_pelicula
46654,Filmstudio,9360
54659,Athos Films,816
63558,Chaumiane,49478
285,Live Entertainment,1811
104,Canal Plus,330
7961,Gaumont International,33660
16804,France 3 Cinema,1639
528,Bandai Visual Company,415
6999,Kodansha,17991
12657,Production I.G.,607
297,Aardman Animations,9387
285,Live Entertainment,10603
12450,Steelwork Films,20737
12451,Mediaworks,18519
72471,Studio Kankourama,4961
72472,Cinegrit,1669
14,Miramax Films,9437
181,Channel Four Films,10351
358,Noel Gay Motion Picture Company,3597
359,Figment Films,1281
9349,Film4,563
306,Twentieth Century Fox Film Corporation,9823
347,Centropolis Entertainment,8078
2,Walt Disney Pictures,42832
23,Imagine Entertainment,9714
33,Universal Pictures,4233
4,Paramount Pictures,714
14,Miramax Films,9922
33,Universal Pictures,32302
69626,Tales From The Crypt Holdings,9033
69627,Universal City Studios,11568
4,Paramount Pictures,11808
11661,Rysher Entertainment,617
4,Paramount Pictures,17644
10211,Alfran Productions,27472
2521,Golden Harvest Company,10216
3054,Golden Way Films Ltd.,9771
2521,Golden Harvest Company,37410
4285,Universal Cartoon Studios,10674
14,Miramax Films,846
385,Stanley Kubrick Productions,3050
8411,Metro-Goldwyn-Mayer (MGM),944
8411,Metro-Goldwyn-Mayer (MGM),1051
638,Laurel Group,1366
3139,Off Color Films,10014
14121,Image Ten,10072
14122,Market Square Productions,10131
22060,D & B Films Co. Ltd.,10160
5888,Walt Disney,11284
3166,Walt Disney Productions,4488
3166,Walt Disney Productions,9725
3166,Walt Disney Productions,9728
3166,Walt Disney Productions,9730
2,Walt Disney Pictures,9731
2,Walt Disney Pictures,10225
2,Walt Disney Pictures,10281
8830,Touchwood Pacific Partners 1,10283
3166,Walt Disney Productions,948
6,RKO Radio Pictures,11281
3166,Walt Disney Productions,10676
2,Walt Disney Pictures,11357
3166,Walt Disney Productions,11361
2499,The Kushner-Locke Company,36599
3322,August Entertainment,39929
30702,Multicom entertainment,41828
306,Twentieth Century Fox Film Corporation,41769
1073,Gordon Company,10585
1885,Silver Pictures,11186
12,New Line Cinema,11187
5570,Allied Vision,609
3475,Walt Disney Television Animation,11133
137,Great American Films Limited Partnership,10306
12360,Vestron Pictures,9552
1648,Gladden Entertainment,11586
559,TriStar Pictures,11587
5358,Canal+,941
14723,Carolco Pictures,942
7405,Dimension Films,943
60,United Artists,927
10257,Jewel Productions,928
10258,Pimlico Films,9342
15980,Incorporated Television Company (ITC),165
494,AVCO Embassy Pictures,196
500,Goldcrest Films International,551
502,International Film Investors,17984
664,City Film,22328
494,AVCO Embassy Pictures,3170
502,International Film Investors,242
10312,Wescom Productions,29228
82,Renn Productions,11164
875,Films A2,12129
1524,DD Productions,14140
1869,AMLF,11158
8453,Télévision Suisse-Romande (TSR),9354
20091,RAI Radiotelevisione Italiana,9325
82,Renn Productions,10340
875,Films A2,10144
1524,DD Productions,10414
1869,AMLF,10437
20091,RAI Radiotelevisione Italiana,12230
297,Aardman Animations,10693
4,Paramount Pictures,11135
1,Lucasfilm,11319
306,Twentieth Century Fox Film Corporation,14822
1,Lucasfilm,15969
4,Paramount Pictures,15943
306,Twentieth Century Fox Film Corporation,19762
396,SLM Production Group,2619
19747,Brandywine Productions,97
60,United Artists,11675
5755,Constantin Film Produktion,87
7508,Produzioni Europee Associati (PEA),123
42498,Arturo González Producciones Cinematográficas S.A.,10823
1,Lucasfilm,11497
306,Twentieth Century Fox Film Corporation,2907
