id,name_genres,id_genres
10072,'Horror' 'Thriller',"'27,53'"
10073,'Comedy','35'
10074,'Action' 'Comedy',"'28,35'"
100747,'Drama' 'War',"'18,10752'"
10075,'Drama' 'Fantasy' 'Horror' 'Romance',"'18,14,27,10749'"
10077,'Thriller' 'Science Fiction' 'Adventure' 'Action',"'53,878,12,28'"
100770,'Horror','27'
100776,'Documentary' 'Music',"'99,10402'"
10078,'Comedy','35'
100783,'Comedy' 'Drama' 'Family',"'35,18,10751'"
100784,'',''
100791,'Comedy' 'Fantasy' 'Family',"'35,14,10751'"
100794,'Drama' 'Foreign',"'18,10769'"
10081,'Action' 'Adventure' 'Crime' 'Drama',"'28,12,80,18'"
100812,'Romance' 'Drama' 'Thriller',"'10749,18,53'"
100813,'Documentary','99'
100814,'Action' 'Adventure' 'War',"'28,12,10752'"
100825,'Documentary' 'Music',"'99,10402'"
100829,'Documentary','99'
10083,'Action' 'Drama' 'Thriller',"'28,18,53'"
100830,'Comedy','35'
10085,'Horror','27'
10086,'Comedy' 'Crime' 'Drama' 'Horror',"'35,80,18,27'"
10087,'Drama','18'
100888,'',''
10089,'Comedy' 'Horror',"'35,27'"
100894,'Crime' 'Drama',"'80,18'"
100898,'Drama' 'Romance',"'18,10749'"
10090,'Action' 'Adventure' 'Comedy' 'Crime',"'28,12,35,80'"
100910,'Drama' 'Romance',"'18,10749'"
100914,'',''
10092,'Horror' 'Thriller',"'27,53'"
100923,'Drama','18'
10093,'Drama' 'Horror' 'Thriller',"'18,27,53'"
10094,'Crime' 'Drama' 'Horror' 'Mystery' 'Thriller',"'80,18,27,9648,53'"
10096,'Comedy' 'Fantasy' 'Romance',"'35,14,10749'"
10097,'Drama' 'Comedy' 'Crime',"'18,35,80'"
100973,'Drama' 'Thriller',"'18,53'"
100975,'Drama' 'Comedy',"'18,35'"
10098,'Comedy' 'Drama',"'35,18'"
101,'Thriller' 'Crime' 'Drama',"'53,80,18'"
101006,'Drama','18'
10102,'Drama' 'Comedy',"'18,35'"
101024,'Comedy','35'
101029,'Drama','18'
10103,'Comedy' 'Drama',"'35,18'"
101030,'Adventure','12'
10105,'Action' 'Adventure' 'Drama' 'History' 'War',"'28,12,18,36,10752'"
101056,'Drama' 'Romance' 'Foreign',"'18,10749,10769'"
10107,'Adventure' 'Comedy' 'Family',"'12,35,10751'"
10109,'Action' 'Adventure' 'Comedy' 'Drama' 'Fantasy' 'Romance',"'28,12,35,18,14,10749'"
10110,'Drama' 'History' 'War',"'18,36,10752'"
10111,'Comedy' 'Romance',"'35,10749'"
10112,'Animation' 'Comedy' 'Family' 'Adventure',"'16,35,10751,12'"
101124,'Documentary' 'Foreign',"'99,10769'"
101125,'Adventure' 'Action' 'Drama',"'12,28,18'"
101135,'Adventure' 'Comedy' 'Family',"'12,35,10751'"
10115,'Comedy' 'Drama',"'35,18'"
10116,'Action','28'
10117,'Action' 'Adventure' 'Comedy' 'Crime' 'Drama',"'28,12,35,80,18'"
101173,'Drama' 'Thriller',"'18,53'"
101176,'Horror' 'Thriller',"'27,53'"
101179,'Horror' 'Thriller' 'Mystery',"'27,53,9648'"
10118,'Comedy','35'
101183,'Drama','18'
101185,'Drama' 'History' 'Romance',"'18,36,10749'"
10119,'Comedy' 'Drama',"'35,18'"
101190,'Action' 'Comedy' 'Crime',"'28,35,80'"
10120,'Action' 'Comedy',"'28,35'"
