id_pelicula,department,id_y,job,name
21734,Directing,1399481,Script Supervisor,Wendy Lee Roberts
12626,Directing,11401,Director,John Woo
2028,Directing,11181,Director,Kenneth Branagh
218624,Directing,2406,Director,Mathieu Kassovitz
26618,Directing,4014,Director,Paul W.S. Anderson
24016,Directing,92561,Director,Nick Broomfield
11337,Directing,23213,Director,Harold Becker
28134,Directing,5655,Director,Wes Anderson
1955,Directing,14692,Director,Nick Castle
10683,Directing,21053,Director,John Dahl
9425,Directing,17494,Director,Dennis Dugan
12888,Directing,190,Director,Clint Eastwood
123056,Directing,18969,Director,Doris Dörrie
12560,Directing,65298,Director,Brian Henson
309,Directing,64077,Director,Robert Leacock
24018,Directing,1234226,Director,James Bruce
31947,Directing,2461,Director,Mel Gibson
125582,Directing,1032,Director,Martin Scorsese
16337,Directing,1459591,Script Supervisor,Kay Chapin
10945,Directing,1568511,Assistant Director,Peter R. Scoppa
10013,Directing,1565149,Other,Robert P. Cohen
9671,Directing,18855,Assistant Director,Ralph S. Singleton
6187,Directing,44916,Director,Stanley Tong
296543,Directing,23393,Director,Barbet Schroeder
20595,Directing,184475,Director,Mort Ransen
8769,Directing,20849,Director,Étienne Chatiliez
40160,Directing,82293,Director,Jon Blair
871,Directing,81020,Director,Benjamin Ross
9535,Directing,68185,Director,Eric Schaeffer
47501,Directing,12989,Director,Andrew Davis
107946,Directing,36147,Director,Charles T. Kanganis
10350,Directing,60295,Director,John N. Smith
22345,Directing,68215,Director,Reginald Hudlin
53685,Directing,12453,Director,Wong Kar-wai
125123,Directing,65314,Director,Giuseppe Tornatore
65749,Directing,17883,Director,David O. Russell
49981,Directing,1209612,Script Supervisor,Julie Oppenheimer
114719,Directing,16589,Director,Peter MacDonald
24584,Directing,239321,Director,Moufida Tlatli
33194,Directing,93632,Director,Michel Negroponte
53862,Directing,122583,Director,Bryan Gordon
31342,Directing,230464,Script Supervisor,Harri James
3076,Directing,41670,Director,Rebecca Miller
18158,Directing,125543,Director,Michael Lindsay-Hogg
1090,Directing,15175,Director,William Friedkin
41730,Directing,114997,Director,Ángel Muñiz
100568,Directing,84445,Director,Craig Baldwin
68426,Directing,12920,Director,David S. Ward
10239,Directing,1321432,Script Supervisor,Lainie Miller
2667,Directing,1077999,Director,Mark Rappaport
2978,Directing,45382,Director,Dirk Shafer
4806,Directing,93911,Director,Terence Davies
967,Directing,1080311,Director,Sandip Ray
21185,Directing,18250,Director,Jon Avnet
48686,Directing,5342,Director,Mike Nichols
108312,Directing,1285121,Director,Jakov Sedlar
