id,name_genres
258,"Comedy,Drama,Romance"
259,"Comedy,Drama,Romance"
260,"Action,Thriller,Mystery"
261,"Drama,Romance"
262,"Comedy,Drama"
265,"War,Drama,Romance"
266,Drama
267,"Drama,Romance,Thriller"
268,"Fantasy,Action"
269,"Drama,Crime"
271,"Adventure,Drama,Fantasy,Family"
272,"Action,Crime,Drama"
273,Drama
274,"Crime,Drama,Thriller"
275,"Crime,Drama,Thriller"
276,"Drama,Comedy"
277,"Fantasy,Action,Thriller"
278,"Drama,Crime"
279,"Drama,History,Music"
280,"Action,Thriller,Science Fiction"
281,"Crime,Drama,Science Fiction,Thriller"
284,"Comedy,Drama,Romance"
285,"Adventure,Fantasy,Action"
286,Documentary
287,"Comedy,Romance"
288,Western
289,"Drama,Romance"
290,"Comedy,Drama"
291,Documentary
292,"Comedy,Documentary,Music"
293,Drama
294,"Drama,Romance"
296,"Action,Thriller,Science Fiction"
297,"Fantasy,Drama,Mystery"
298,"Crime,Thriller"
299,"Thriller,Music,Comedy,Crime"
300,"Comedy,Drama,Fantasy"
301,Western
302,"Thriller,Crime"
303,"Thriller,Drama,Romance"
306,"Action,Comedy,Crime"
307,"Drama,History"
308,"Comedy,Drama,Mystery,Romance"
309,Drama
310,"Fantasy,Comedy"
311,"Drama,Crime"
312,Drama
313,"Romance,Drama"
314,"Action,Crime"
315,"Action,Crime"
316,"Comedy,Drama"
317,"Drama,History"
318,"Drama,Thriller"
319,"Action,Thriller,Crime,Romance"
320,"Crime,Mystery,Thriller"
321,"Comedy,Romance"
322,"Thriller,Crime,Drama,Mystery"
326,"Action,Crime,Horror,Thriller"
327,"Crime,Drama,Thriller"
329,"Adventure,Science Fiction"
330,"Adventure,Action,Science Fiction"
331,"Adventure,Action,Thriller,Science Fiction"
332,"Action,Adventure,Comedy,Family"
333,"Comedy,Drama,Music,Romance"
334,Drama
335,Western
336,Western
337,Drama
338,"Comedy,Drama,Romance"
339,"Comedy,Drama"
340,"Comedy,Drama"
342,"Comedy,Drama"
343,"Comedy,Drama,Romance"
344,"Crime,Action,Comedy"
345,"Mystery,Drama"
346,"Action,Drama"
347,Drama
348,"Horror,Action,Thriller,Science Fiction"
349,Comedy
350,"Comedy,Drama,Romance"
363,"Drama,Romance"
364,"Action,Fantasy"
377,Horror
378,"Comedy,Crime"
379,"Drama,Thriller,Crime"
380,Drama
381,"Crime,Drama,Mystery,Romance,Thriller"
383,Drama
387,"Action,Drama,History,War,Adventure"
388,"Crime,Drama,Thriller"
389,Drama
390,"Drama,Foreign,Thriller"
391,Western
392,"Comedy,Drama,Romance"
393,"Action,Crime,Thriller"
395,"Adventure,Science Fiction,Action"
396,Drama
397,"Comedy,Romance"
398,"Crime,Drama"
400,"Drama,Crime"
401,"Comedy,Drama,Romance"
402,"Thriller,Mystery"
403,"Comedy,Drama"
404,Drama
405,Drama
406,Drama
407,"Drama,Thriller"
408,"Fantasy,Animation,Family"
409,"Drama,Romance,War"
410,"Comedy,Drama"
411,"Adventure,Family,Fantasy"
414,"Action,Crime,Fantasy"
415,"Action,Crime,Fantasy"
421,"Adventure,Comedy,Drama"
422,"Fantasy,Drama"
423,"Drama,War"
424,"Drama,History,War"
425,"Animation,Comedy,Family,Adventure"
426,"Mystery,Romance,Thriller"
427,Comedy
428,"Drama,Romance"
429,Western
430,"Comedy,Family"
431,"Thriller,Science Fiction,Mystery"
433,"Comedy,Family,Fantasy"
434,"Drama,Thriller"
435,"Action,Adventure,Science Fiction,Thriller"
436,"Drama,Thriller,Crime"
437,"Thriller,Science Fiction,Mystery"
438,"Mystery,Science Fiction,Thriller"
439,"Comedy,Drama"
440,"Fantasy,Action,Science Fiction,Thriller,Horror"
441,"Drama,Comedy"
442,"Comedy,Drama"
