id_original,name
101449,Jay Karas
10145,Joseph Ruben
10146,Doris Dörrie
10147,Terry Zwigoff
101482,Pál Fejős
10149,"Wayne Wang,Paul Auster"
10150,"Jules Bass,Arthur Rankin, Jr."
101501,Jason Stoddard
101503,Chuck Jones
10151,Samir
101514,Bill Corcoran
101519,"Crispian Mills,Chris Hopewell"
10152,Troy Miller
101520,"Catherine Bainbridge,Neil Diamond,Jeremiah Hayes"
10153,Barry Levinson
101538,Claudio Biern Boyd
10154,Kelly Makin
10155,Oliver Stone
101553,Tinto Brass
101557,William A. Wellman
10156,Mel Brooks
101566,Amir Naderi
10157,Jerry Paris
10158,Ron Shelton
10159,Peter Berg
101598,Robert Florey
10160,Stephen Hopkins
101609,Denis Delestrac
10161,Jim Sheridan
10162,Kirk Jones
10163,Brett Leonard
10164,Roger Donaldson
10165,Stanley Kubrick
101652,Bitto Albertini
101653,John Sturges
10166,Nicolas Roeg
101660,Kenneth Johnson
101665,Yukihiko Tsutsumi
101669,Darren Lynn Bousman
10167,Don Michael Paul
10168,Andrew Bergman
10169,Emilio Estevez
10170,Fred Schepisi
10171,Volker Schlöndorff
101715,Jonathan Hock
10172,Steve Carr
101724,Patrick Rea
10173,Dwight H. Little
101731,Rob Reiner
101733,Noboru Iguchi
10174,"Alek Keshishian,Mark Aldo Miceli"
101740,Masaki Kobayashi
101752,Hidekazu Takahara
10176,Geoff Murphy
101766,Kim Tae-gyun
10177,Jake West
101772,Leopold Lindtberg
10178,Edward Dmytryk
101783,Rohit Shetty
10179,Stewart Raffill
101791,Ryan Andrews
1018,David Lynch
10180,Anders Thomas Jensen
101801,Petr Zelenka
101803,Paul Joyce
101806,David Hand
101818,PES
10183,Courtney Hunt
10184,Ken Kwapis
10185,Ryûhei Kitamura
101852,Kurt Kuenne
101858,Roscoe 'Fatty' Arbuckle
10186,Peter Cattaneo
101860,Kenneth A. Carlson
10187,Joshua Michael Stern
10188,Sanaa Hamri
101887,Roger Spottiswoode
10189,David Gordon Green
10190,Alan Ball
101904,Jean-Paul Civeyrac
101908,Wang Xiaoshuai
10191,"Chris Sanders,Dean DeBlois"
101915,David Blair
101916,Stefan Pleszczynski
101917,Mijke de Jong
10192,Mike Mitchell
101929,Masaki Kobayashi
10193,Lee Unkrich
10195,Kenneth Branagh
101956,Erik S. Weigel
10196,M. Night Shyamalan
101965,Shunji Iwai
101968,Jeff Kopas
10197,Rob Marshall
10198,"Ron Clements,John Musker"
10199,"Robert Stevenhagen,Sam Fell"
101995,Zeki Demirkubuz
101998,Laurent Cantet
102,Susanne Bier
10200,Scott Derrickson
102000,Ursula Meier
102001,Abbas Kiarostami
10201,Peyton Reed
10202,Adam Shankman
102024,Rasmus Breistein
102032,Stuart Schulberg
102038,Gordon Douglas
102039,Craig Baldwin
10204,Frank Coraci
102041,Tony Gerber
10205,Kimble Rendall
102051,Bryan Lefler
102053,Ryan Polito
102057,Bud Yorkin
102059,Lewis Teague
10206,Fran Rubel Kuzui
10207,Luis Mandoki
102078,Rudolph Maté
10208,Tim Hill
102081,Carol Reed
10209,Gillies MacKinnon
102091,Richard Brooks
10210,Michael Hoffman
10212,Antonia Bird
10213,P.J. Pesce
10214,Lawrence Guterman
102144,Edmund Goulding
10215,Peter Howitt
102155,Stuart Heisler
10216,Peter Medak
102161,Chuck Jones
102165,Daniel Mann
10217,Atom Egoyan
10218,Doug Liman
10219,Scott Hicks
102195,Gordon Douglas
102197,Aleksey Andrianov
102198,Harry Winer
10220,John Dahl
102207,Alain Chabat
10222,"Jean-Claude Van Damme,David Worth,Mark DiSalle"
102222,Jason Connery
102227,Koki Mitani
10223,Sam Raimi
102234,Anders Engström
102242,Charlie Jordan
10225,Tom McLoughlin
102256,Filip Tegstedt
10226,Alexandre Aja
10227,Jacques Tati
102272,Volker Schlöndorff
10228,"Michael Haigney,Kunihiko Yuyama"
102286,Ralph Nelson
102288,R.G. Springsteen
102289,Allan Dwan
10229,Adam Shankman
102292,Thierry Binisti
102295,John Sturges
1023,Anders Thomas Jensen
102304,Susan Skoog
102305,Chris Eska
10232,Daniel Schmid
102331,Mushon Salmona
102337,Srđan Vuletić
10234,Michael Haneke
10235,"Sergei M. Eisenstein,Dmitriy Vasilev"
10236,Sydney Pollack
102362,Niels Arden Oplev
102363,Igor Voloshin
102368,Carlos Saura
10237,Leonard Kastle
10238,Ingmar Bergman
102382,Marc Webb
102384,Lewis Milestone
10239,Éric Rohmer
1024,Peter Jackson
10241,Éric Rohmer
102419,Lance Comfort
10242,Robert Aldrich
102420,Joe Zerull
102428,Carlos Saura
10243,Robert Aldrich
102431,Don McBrearty
10244,Rainer Werner Fassbinder
102444,Peter Sasdy
10246,Bob Clark
102461,Benoît Jacquot
10247,Frank A. Cappello
10248,Mark Schippert
102488,Henry Levin
102489,André Téchiné
10249,Joe Johnston
10251,Warren P. Sonoda
